4r40_C		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_6_E_0_-_6_A_5_E_6_E_5_D_5_E_6_D_6_B_17_E_5_E_6_E_6_A_7_E_5_G_2_G_5_B_7_C	0-13	12-28	BjACBGBGGGGGBBbi	CDiBbeHHImFFEAEEDEDBEEEAEGGBCEFCF	0.558
4hii_C		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_0_-_2_B_17_B	_6_D_0_-_3_A_7_C_3_E_4_b_2_F_6_B_3_D_7_D_3_d_2_J_4_E_2_A_4_D_9_I_0_e_2_F_7_F	0-13	4-21	BjACBGBGGGGGBBbi	BCEEDACEbFBDDdJEADIeFF	0.432
4q98_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B	_1_B_0_-_11_C_16_C_1_b_0_B_5_C_2_A_10_F_12_f_8_F_8_C_7_A_3_H_17_H_2_A	0-12	20-34	BjACBGBGGGGGBBbi	FBAABFDCdBdABDBIbbDABCCbBCAFfFCAHHA	0.537
3uzq_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_0_B_0_-_3_B_5_F_4_b_2_E_5_G_4_C_1_b_3_E_4_E_4_b_1_F_6_A_3_D_11_C_2_C	0-13	0-15	BjACBGBGGGGGBBbi	BBFbEGCbEEbFADCCFAAEDAEEbFD	0.505
6xty_2		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_0_-_0_-_0_-_12_G_0_-_2_B_0_-_17_B_0_-_8_b_6_i	_5_D_12_b_8_E_5_C_2_A_33_A_5_B_2_E_13_E_12_A_2_G_3_d_4_F_10_g_4_e_10_j_18_B_7_j_4_C_6_C_6_C_10_D_1_b_2_j	0-15	8-31	BjACBGBGGGGGBBbi	dliDffnbDbECAABEEAGdFgejBjCCCDbjDDDbcckjjmkda	0.360
7jwp_E		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B_0_-_0_-_8_b	_0_D_0_-_2_B_5_G_8_E_5_F_5_B_7_F_2_E_4_b_1_F_8_A_3_D_8_D_4_J_4_C_8_B_3_A_5_I_0_b	0-14	0-18	BjACBGBGGGGGBBbi	DBGEFBFEbFADDJCBAIbFbF	0.447
6wxl_H		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_0_-_2_B_17_B	_0_B_3_B_5_F_0_-_9_E_5_F_16_E_4_E_4_b_1_F_8_c_5_A_4_C	3-13	0-11	BjACBGBGGGGGBBbi	BBFEFEEbFcAC	0.592
3zx1_A		_0_B_2_j_3_A_0_-_0_-_1_C_0_-_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_6_E_6_e_4_E_9_I_12_e_5_C_2_A_2_D_2_F_6_D_3_F_2_H_2_B_4_F_4_F_16_H_0_-_20_H_7_b_2_h	0-15	8-26	BjACBGBGGGGGBBbi	bKEDGBbFEeEIeCADFDFHBFFHHbhBCFDGCACEFdG	0.480
5c2w_E		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_12_G_12_G_0_-_12_G_2_B_0_-_17_B_0_-_8_b_6_i	_4_E_0_-_7_C_4_E_5_E_6_E_5_D_6_C_9_C_7_F_4_G_3_G_5_H_9_b_2_H_6_D_10_E_5_E_4_E_0_-_0_h	0-15	6-24	BjACBGBGGGGGBBbi	EDDEEEECEEEDCCFGGHbHDEEEhfcEEEE	0.477
8bou_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_0_-_0_-_2_B_17_B_8_b	_0_C_0_-_4_C_9_D_4_D_3_D_22_E_5_B_13_F_2_G_2_G_6_I_5_H_7_d_2_c_3_D_3_E_1_d	0-14	0-16	BjACBGBGGGGGBBbi	CCDDDEBFGGIHdcDEdGDdcJHinCdjBhkBfldBBkAAnoAAAilAAAcAkjiCCfCCGGCABbF	0.566
7y22_Y		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B	_12_A_0_-_12_A_4_F_2_H_6_D_12_F_4_E_5_I_2_J_4_G_2_G_2_F_15_J_4_C_13_E	0-13	37-51	BjACBGBGGGGGBBbi	FBAAGbFFBBccDDDDEfkcDDCADbEEHFDECBDDDAAFHDFEIJGGFJCEABCGCJFEIFI	0.580
7swd_K		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_0_B_0_-_5_A_5_F_13_E_6_D_3_A_0_-_7_E_0_-_2_E_8_F_6_A_3_E	0-13	0-10	BjACBGBGGGGGBBbi	BAFEDAEEFAE	0.468
6b9j_A		_1_C_2_B_7_G_0_-_2_B_7_G_0_-_12_G_12_G_0_-_12_G_0_-_0_-_0_-_12_G_2_B_17_B_0_-_8_b	_0_C_3_B_5_G_3_b_2_E_5_G_4_C_7_E_4_E_4_b_1_G_4_C_4_C_8_D_5_J_4_C_8_B_10_I_0_b	3-14	0-18	BjACBGBGGGGGBBbi	CBGbEGCEEbGCCDJCBIbEbE	0.464
7s7k_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G_12_G_0_-_2_B_17_B	_0_E_0_b_0_-_7_B_5_E_5_G_8_C_3_A_6_H_15_H_17_F_4_D_4_J_6_G_3_K_2_B_2_B	0-13	0-15	BjACBGBGGGGGBBbi	EbBEGCAHHFDJGKBBACAJECCAAAAGFHACHbFEDIbDCIACj	0.573
3ld1_A		_0_B_0_-_2_j_0_-_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_2_C_0_b_5_j_5_b_1_B_2_B_4_D_10_E_5_A_1_D_3_F_7_F_2_G_2_G_2_A_4_D	0-13	16-31	BjACBGBGGGGGBBbi	DgmDGBgjckfpffkCCbjbBBDEADFFGGAD	0.630
4f9l_C		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_0_-_12_G_2_B_17_B	_7_A_0_-_3_A_9_B_3_B_4_F_9_E_5_F_6_B_1_b_3_E_4_E_4_b_1_G_9_A_5_D	0-13	9-23	BjACBGBGGGGGBBbi	CGEEADFbFAABBFEFBbEEbGAD	0.595
5fx8_U		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_12_G_12_G_2_B_17_B	_5_B_0_-_2_A_4_A_2_C_8_E_3_H_5_J_2_J_19_A_8_E_3_F_7_H_6_J_3_E_3_A	0-13	10-24	BjACBGBGGGGGBBbi	GAFDADGEKdBAACEHJJAEFHJEAH	0.574
7mw3_F		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_0_-_12_G_12_G_2_B_17_B_0_-_0_-_8_b	_0_B_5_E_10_E_5_F_6_B_7_E_4_E_4_b_1_H_2_K_8_D_5_J_4_C_8_B_3_A_5_I_0_b	2-14	0-16	BjACBGBGGGGGBBbi	BEEFBEEbHKDJCBAIbFF	0.502
4zmx_A		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_8_b	_8_D_0_-_6_A_11_B_5_C_10_E_3_G_7_A_3_F_7_C_2_A_0_-_13_G_8_B_5_C_11_H_1_b	0-14	1-15	BjACBGBGGGGGBBbi	CDABCEGAFCAGBCHbJ	0.582
4iiq_A		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_0_B_3_D_4_G_6_E_6_E_3_D_2_E_4_E_4_b_2_F_5_B_3_E	3-13	0-11	BjACBGBGGGGGBBbi	BDGEEDEEbFBECECE	0.635
7anj_B		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B	_0_A_0_-_7_B_3_C_2_C_4_f_8_G_2_F_4_G_2_F_10_F_5_C_3_F_3_H_2_A	0-12	0-13	BjACBGBGGGGGBBbi	ABCCfGFGFFCFHA	0.629
3k25_A		_0_B_2_j_0_-_3_A_0_-_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_4_E_0_b_2_F_2_A_7_b_11_B_6_b_0_C_0_-_2_C_6_b_3_E_4_G_2_c_6_I_2_I_9_A_2_B_7_B	0-13	1-18	BjACBGBGGGGGBBbi	DEbFAbBbCCbEGcIIABBCBEEFFFcJ	0.467
8fez_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_0_-_12_G_2_B_0_-_0_-_17_B_0_-_8_b_6_i	_4_D_6_b_8_A_3_D_7_D_8_D_6_E_14_G_6_E_4_E_13_F_7_C_3_C_1_H_5_E_4_g_8_H_5_C_9_d_18_c_12_e	0-15	2-22	BjACBGBGGGGGBBbi	BHDbADDDEGEEFCCHEgHCdceAcBAAEHBDDGDCCACDDBJBcepbgBlAAjemcnfcuIJBABCEb	0.439
6tv9_F		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G_12_G_2_B_0_-_17_B_8_b	_4_F_0_-_8_A_5_E_4_E_5_E_2_A_4_A_2_F_3_E_4_E_7_D_6_E_5_E_5_D_3_b_1_C_12_b	0-14	6-22	BjACBGBGGGGGBBbi	EEEDEEFAEEEAAFEEDEEDbCbBDEFEEDDEDbEFEd	0.543
3b9k_L		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_0_-_12_G_12_G_12_G_12_G_0_-_2_B_17_B_8_b	_6_D_0_-_3_A_7_E_2_E_4_b_2_E_5_A_3_D_7_D_3_e_1_J_4_E_8_D_9_I_0_c_5_E_7_B_3_c	0-14	4-21	BjACBGBGGGGGBBbi	CCFEDAEEbEADDeJEDIcEBc	0.465
6bxu_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_4_B_0_-_2_A_7_C_3_A_6_E_6_B_5_C_10_H_6_J_7_A_6_C_6_D_2_A_4_b	0-14	11-24	BjACBGBGGGGGBBbi	FCbABCCIJbABACAEBCHJACDAbDBCII	0.588
5a7x_P		_1_C_2_B_7_G_2_B_7_G_12_G_0_-_0_-_12_G_12_G_0_-_12_G_0_-_0_-_2_B_0_-_17_B_0_-_0_-_8_b	_0_C_3_B_5_G_0_-_7_G_5_G_2_C_1_b_3_E_8_E_4_b_1_H_8_A_2_A_3_B_2_D_8_D_3_J_4_C_0_b	3-14	0-18	BjACBGBGGGGGBBbi	CBGGGCbEEbHAABDDJCbBAHdEbE	0.443
5zj0_A		_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_8_b_0_-_6_i	_6_l_0_-_3_b_19_C_2_C_7_D_2_C_4_b_10_D_8_A_16_F_2_E_4_E_14_A_7_E_5_e_11_d_2_d_2_f	1-15	2-19	BjACBGBGGGGGBBbi	thlbCCDCbDAFEEAEeddfdq	0.418
5vta_L		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_0_-_12_G_12_G_12_G_12_G_0_-_2_B_17_B	_6_D_0_-_3_A_7_E_2_E_4_b_2_E_6_A_3_C_8_D_3_d_2_J_5_E_8_D_9_I_0_c_5_E_7_D	0-13	4-20	BjACBGBGGGGGBBbi	CBFDDAEEbEACDdJEDIcED	0.446
4nhu_C		_3_A_1_C_2_B_0_-_7_G_0_-_2_B_0_-_0_-_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_0_A_4_D_4_B_2_A_6_F_6_E_5_B_1_b_1_D_4_E_4_b_2_F_6_A_3_E_8_E_7_E_15_B_3_D	2-13	0-17	BjACBGBGGGGGBBbi	ADBAFEBbDEbFAEEEBDI	0.484
3zmn_A		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_0_-_0_-_12_G_12_G_12_G_12_G_0_-_2_B_17_B	_3_E_0_b_1_A_10_F_4_D_6_C_1_E_8_E_21_F_2_C_2_C_5_E_9_F_3_F_4_G_0_c_17_B_4_F	0-13	1-18	BjACBGBGGGGGBBbi	AEbAFDCEEFCCEFFGcBFK	0.494
4rm7_A		_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b_0_-_6_i	_2_k_0_-_4_C_7_A_0_-_9_A_0_-_2_A_6_G_6_C_8_E_0_-_8_E_6_b_7_q_2_g	1-15	5-16	BjACBGBGGGGGBBbi	miglkkCAAAGCEEbqgbcjdjjj	0.448
2wan_A		_0_B_2_j_3_A_0_-_1_C_0_-_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_7_D_0_-_5_A_1_E_5_D_3_b_10_b_2_C_2_G_0_-_2_H_6_J_4_G_4_C_16_H_9_D_2_D_1_A_1_c_1_b	0-14	2-19	BjACBGBGGGGGBBbi	HJDAEDbbCGHJGCHDDAcbCFFCAbFFCbAcbbCddbgCBFblEdmCckCBggbBgmDbcdlcfBDbECEAACF	0.501
5nz8_A		_0_B_2_j_0_-_3_A_0_-_1_C_0_-_0_-_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_0_-_0_-_0_-_12_G_0_-_0_-_2_B_17_B_8_b_0_-_0_-_6_i	_4_B_2_i_3_b_3_A_5_C_12_C_8_c_2_C_7_A_5_B_18_D_2_D_7_H_2_G_3_H_9_J_5_J_6_c_1_e_1_F_5_G_2_b_2_J_2_B_3_B_2_d_24_I_4_J_8_k	0-15	7-35	BjACBGBGGGGGBBbi	hEFfhCCBibACCcCABDDHGHJJceFGbJBBdIJknBdiAljAlnlAAhiAAbAmldcAAkABGGDBH	0.352
5eul_V		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G	_0_B_0_-_3_A_5_F_7_D_9_E_4_A_8_E_3_F_4_b_1_G_12_E	0-10	0-10	BjACBGBGGGGGBBbi	BAFDEAEFbGE	0.634
8i5l_D		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_0_-_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_4_E_4_b_1_H_0_b_2_D_3_B_6_A_3_C_5_E_11_D_5_E_12_E_2_E_4_b_1_H_4_D_2_E	0-13	7-23	BjACBGBGGGGGBBbi	DGbEFBEEbHbDBACEDEEEbHDE	0.460
4lzk_C		_0_B_0_-_2_j_3_A_0_-_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G	_0_C_2_A_1_f_11_A_2_b_18_D_4_B_0_-_2_A_7_J_7_E_6_b_9_H_3_K	0-10	0-12	BjACBGBGGGGGBBbi	CAfAbDBAJEbHKL	0.497
5gva_A		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_A_0_-_3_A_7_C_6_C_4_D_8_C_4_F_2_E_3_E_5_F_4_E_5_E_4_D_2_G_6_E_5_E_4_D_4_E_8_b	0-14	0-18	BjACBGBGGGGGBBbi	AACCDCFEEFEEDGEEDEbAEEDEEDDEEE	0.504
5y0w_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_0_-_2_B_17_B_8_b_0_-_6_i	_11_A_6_g_11_D_5_D_4_B_6_B_9_B_2_C_16_C_2_A_7_J_6_A_5_C_4_b_0_E_16_C_1_b_11_B_1_e	0-15	4-22	BjACBGBGGGGGBBbi	ccdeAgDDBBBCCAJACbECbBeDEBJ	0.419
6iyy_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_6_E_0_-_9_A_7_D_5_E_8_C_5_E_5_E_4_E_5_E_7_E_5_E_3_E_10_C_6_D	0-13	12-25	BjACBGBGGGGGBBbi	EEFFFbEEFDDEEADECEEEEEEECDEEFc	0.616
6hkg_D		_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_0_-_12_G_0_-_12_G_2_B_17_B	_0_C_2_C_5_F_7_E_6_D_3_A_7_E_2_E_4_b_2_E_7_A_3_D_7_D_4_H_4_D_9_G	2-13	0-15	BjACBGBGGGGGBBbi	CCFEDAEEbEADDHDG	0.439
6sdu_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_0_C_0_-_2_C_10_D_4_E_12_H_0_b_3_G_5_H_5_H_22_E_2_G_6_F_5_D_0_-_0_i	0-15	0-13	BjACBGBGGGGGBBbi	CCDEHbGHHEGFDiKK	0.621
3s9d_B		_1_C_2_B_7_G_0_-_0_-_2_B_7_G_12_G_0_-_0_-_12_G_12_G_12_G_2_B_17_B	_0_F_2_F_9_G_7_A_1_b_6_B_11_G_3_G_1_c_1_A_3_E_4_E_9_G_2_D_6_E	3-13	0-14	BjACBGBGGGGGBBbi	FFGAbBGGcAEEGDEHC	0.551
3w5g_B		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B_8_b	_3_D_0_-_7_A_9_E_7_C_12_A_5_d_5_I_13_E_3_E_2_F_7_E_5_I_10_b_4_G_5_B_5_D_2_c	0-14	31-47	BjACBGBGGGGGBBbi	BBBEbiDcbiFcdnbEflCEEBkGAnCFFDDDAECAdIEEFEIbGBDcdbFCDEBCbFbH	0.596
7c7l_B		_2_j_0_-_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_0_-_17_B_8_b_6_i	_4_k_2_d_15_B_2_B_2_C_5_A_12_A_10_D_2_D_4_H_5_E_5_D_5_B_3_m_3_s_4_B_4_b_6_e	1-15	4-21	BjACBGBGGGGGBBbi	HqfekdBBCAADDHEDBmsBbekBei	0.497
7ud5_N		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_0_-_7_G_12_G_0_-_12_G_12_G_12_G_0_-_2_B_0_-_17_B_0_-_0_-_8_b	_5_B_0_-_7_D_5_D_9_B_2_E_8_C_4_C_11_C_5_D_4_E_7_C_10_E_5_E_4_D_3_c_31_C_8_C_17_C_8_D_2_E_6_b	0-14	5-25	BjACBGBGGGGGBBbi	BDEFABDDBECCCDECEEDcCCCDEb	0.394
2y5t_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_0_-_17_B_8_b	_0_B_0_-_3_C_5_G_3_b_2_E_5_G_4_C_1_b_3_E_4_E_4_b_1_G_6_C_3_D_8_D_10_J_4_C_0_b	0-14	0-17	BjACBGBGGGGGBBbi	BCGbEGCbEEbGCDDJCbHJEbE	0.472
6e5p_J		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_12_G_2_B_17_B	_0_C_2_B_6_F_7_D_6_D_3_A_7_E_2_E_4_b_2_E_2_A_3_D	3-13	0-11	BjACBGBGGGGGBBbi	CBFDDAEEbEAD	0.600
8fs8_H		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b_0_-_6_i	_0_D_2_m_0_-_2_F_2_F_5_G_0_b_4_A_0_-_6_B_2_G_0_c_11_G_14_E_4_C_4_B_7_c_2_E_0_i	0-15	0-16	BjACBGBGGGGGBBbi	DmFFGbABGcGECBcEiEDCBDjEEF	0.533
3qo1_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_0_-_12_G_12_G_0_-_12_G_12_G_0_-_2_B_17_B	_6_D_0_-_3_A_7_E_2_E_4_b_1_F_6_A_3_D_7_D_3_d_2_J_4_E_2_A_4_D_9_I_0_e_2_F_7_E	0-13	4-21	BjACBGBGGGGGBBbi	CCFEDAEEbFADDdJEADIeFE	0.406
7p3z_M		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_7_B_0_-_3_A_9_C_0_-_6_H_0_g_10_D_6_F_15_D_13_A_7_E_4_E_13_C_16_C_1_B	0-13	8-21	BjACBGBGGGGGBBbi	AAnnGEMFBACHgDFDAEECCBFC	0.581
1fsk_I		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_0_-_7_G_0_-_12_G_0_-_12_G_12_G_0_-_0_-_0_-_12_G_2_B_0_-_17_B_0_-_0_-_8_b	_0_B_0_-_3_C_5_G_3_b_2_E_5_G_4_C_1_b_3_E_0_b_1_E_4_b_1_H_2_E_3_D_8_C_11_A_2_G_4_C_9_A_3_B_2_F_2_A_2_c	0-14	0-23	BjACBGBGGGGGBBbi	BCGbEGCbEbEbHEDCAGCABFAcFbF	0.360
7ox3_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B	_0_D_0_-_4_E_9_D_6_D_12_E_2_E_4_b_1_G_5_B_3_E_7_D_3_d_3_J_4_E_2_B_3_B	0-13	0-15	BjACBGBGGGGGBBbi	DEDDEEbGBEDdJEBBAHeFF	0.509
4khx_L		_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b	_0_C_0_-_5_E_9_D_6_D_12_D_3_E_4_b_2_F_6_B_3_D_8_B_7_c	3-14	0-11	BjACBGBGGGGGBBbi	CEDDDEbFBDBcAEDAAGD	0.546
8es4_E		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_0_-_7_G_12_G_0_-_0_-_12_G_12_G_12_G_0_-_0_-_0_-_2_B_0_-_17_B_0_-_0_-_8_b	_0_B_0_-_22_B_1_C_3_C_4_A_14_G_2_G_4_D_13_b_8_E_2_E_5_B_8_b_0_E_6_G_4_G_9_b_1_l_3_b_0_B_3_D_5_B_7_B_4_A_2_b	0-14	0-24	BjACBGBGGGGGBBbi	BBCCAGGDbEEBbEGGblbBDBBAbCDCBBAAcBBCCEDCCBHHDbFEHbDBEDDHBbbCACCFCJGbGKEH	0.397
6nmu_A		_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_0_-_0_-_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_B_2_C_5_E_8_E_6_D_3_A_7_E_2_E_4_b_1_F_12_D_7_D_3_e_1_J_4_E_2_A_4_D_9_I_0_c	2-14	0-18	BjACBGBGGGGGBBbi	BCEEDAEEbFDDeJEADIcFE	0.402
6b0n_G		_0_B_0_-_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_17_B_8_b	_0_B_4_D_0_-_8_A_11_C_4_E_8_B_2_C_13_B_9_B_10_C_4_F_5_F_2_E_9_E_0_n_4_C_7_c	0-14	11-27	BjACBGBGGGGGBBbi	EBBBBmbDGGbBDACEBCBBCFFEEnCcDDCHAbAJBcbCEbceqFeifj	0.501
8ezk_I		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_0_-_0_-_12_G_12_G_12_G_2_B_17_B_8_b	_0_D_0_-_3_A_5_G_8_F_6_E_5_B_4_b_0_E_4_E_4_b_1_G_2_c_10_D_6_A_3_C_5_E_10_E_6_D_12_E_2_E_4_b	0-14	0-20	BjACBGBGGGGGBBbi	DAGFEBbEEbGcDACEEDEEbHDD	0.399
8u18_B		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_0_-_12_G_12_G_0_-_12_G_2_B_17_B	_15_C_0_-_2_A_0_c_2_C_4_F_4_H_14_A_1_A_11_F_6_H_4_D_5_b_8_F_2_E_4_c_3_G_6_B_8_C	0-13	19-36	BjACBGBGGGGGBBbi	cCEEACbFGHbFEeHBADICAcCFHAAFHDbFEcGBCG	0.539
7lhg_C		_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_0_-_12_G_0_-_2_B_17_B	_16_A_6_D_15_A_11_E_5_E_13_H_11_I_4_I_2_K_2_K_3_K_8_H_7_g_8_B_1_F	2-13	16-30	BjACBGBGGGGGBBbi	dACACAdDDbJJKLIIADAEEHIIKKKHgBFIJIJGEAJAGGJBDACABADBCBBDCD	0.516
8e1u_F		_0_B_2_j_0_-_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_0_-_17_B_0_-_8_b_0_-_6_i	_1_B_8_f_1_b_0_B_5_B_5_B_0_-_5_B_4_E_2_E_5_B_5_F_2_I_4_D_9_c_2_c_1_C_5_j_10_b_14_f_8_g	0-15	29-48	BjACBGBGGGGGBBbi	mlkAdBEECBjcbEBIkbbbIddcCEnCJBfbBBBBEEBFIDccCjbfgkbbEGAHEIEECcgBAgejADckFCiAAbbjHCfeBBBcBiccbpcjfesfle	0.494
6bk9_A		_0_B_2_j_3_A_1_C_2_B_0_-_0_-_0_-_7_G_2_B_7_G_12_G_0_-_0_-_0_-_12_G_12_G_12_G_2_B_17_B	_0_C_0_-_6_C_3_C_7_E_2_J_7_K_11_h_4_E_9_B_4_J_12_I_10_A_7_C_3_B_4_E_3_J_3_J_2_D_7_A	0-13	0-18	BjACBGBGGGGGBBbi	CCCEJKhEBJIACBEJJDAII	0.379
5a9q_2		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_0_C_0_-_6_B_11_D_3_G_11_H_4_E_4_A_4_H_4_E_3_D_9_G_3_F_3_F_3_E_4_F	0-13	0-14	BjACBGBGGGGGBBbi	CBDGHEAHEDGFFEFHDDDDDCADEAEEE	0.565
4uao_B		_0_B_2_j_3_A_0_-_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_12_G_0_-_12_G_12_G_0_-_12_G_2_B	_6_D_0_-_3_A_7_E_2_E_8_C_1_A_6_A_3_D_9_B_5_c_1_J_3_F_2_A_4_A_12_I_0_d_3_G_6_E	0-12	3-20	BjACBGBGGGGGBBbi	CFCDAEECAADBcJFAAIdGE	0.418
7chi_A		_2_j_3_A_1_C_2_B_0_-_0_-_0_-_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B	_0_k_0_A_0_-_2_A_2_j_4_c_2_c_7_G_4_D_5_D_5_F_3_E_8_H_7_B_7_D_5_E_13_C_8_A	1-13	0-16	BjACBGBGGGGGBBbi	kAAjccGDDFEHBDECAAEB	0.459
2w9x_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_0_-_8_b_6_i	_0_B_0_-_3_B_7_C_0_-_5_F_4_E_3_E_5_C_2_E_2_E_8_F_5_A_8_E_1_c_12_f_2_b_1_g	0-15	0-15	BjACBGBGGGGGBBbi	BBCFEECEEFAEcfbgEbcDcoFmEl	0.576
