3cwb_F	_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m	_0_k_1_c_3_b_5_h_2_n_5_b_3_b_5_m	0.657
1shs_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_0_-_2_b_2_c_3_C	_0_D_0_-_4_D_0_-_3_F_0_-_5_b_0_E_2_F_21_F_6_b_0_-_1_D	0.376
5n13_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m	_1_i_13_c_6_h_6_m_0_-_0_-_5_m	0.536
6vp9_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_21_i_6_C_5_D_30_l_4_F_3_i_6_A_0_-_0_-_13_F	0.521
4z5p_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_0_-_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_0_A_13_h_3_C_0_-_5_D_2_h_0_-_3_A_15_b_4_h_5_d_2_m_3_A_6_j_0_-_0_-_3_l_6_p_5_f_9_j_6_k_2_h_1_k	0.390
1p2x_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_0_p_6_f_4_i_17_k_4_b_3_c_0_-_0_-_5_l_18_k_0_-_7_c	0.428
1s2n_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_0_-_4_j	_13_i_10_E_9_k_4_D_7_j_3_D_0_-_7_b_9_E_4_A_0_-_11_C_3_C_5_C_2_m_5_j	0.528
2ewm_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b	_4_j_2_F_4_g_5_D_5_j_7_C_14_g_5_l_3_E_0_-_2_c_6_p_1_G_0_-_5_c_2_f_0_-_2_c_0_-_0_-_9_i_0_-_0_-_2_b	0.374
5w8p_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_0_-_0_-_3_l_6_k_3_b_2_c_0_-_2_i	_9_D_0_-_26_A_0_-_4_A_0_-_0_-_4_D_22_b_5_k_5_F_1_j_1_b_0_-_0_F_7_l_2_e_0_-_9_l_2_f_6_A_2_A_9_k_4_j_0_-_10_e_5_E_7_i	0.384
1iib_A	_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m	_0_F_2_m_0_-_4_F_0_-_0_g_4_C_1_k_5_B_2_d_0_-_3_m	0.492
6gp3_A	_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_0_-_0_-_2_c_7_m_2_k_0_-_3_l_6_k_3_b_2_c_2_i	_0_c_4_e_0_-_17_j_4_b_2_h_3_n_5_f_3_r_2_k_1_h_1_d_3_i_6_j_4_s_4_s_6_m_9_b_0_-_3_g	0.371
5xit_D	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F	_0_E_0_-_4_D_6_j_3_b_0_D_2_A_0_-_16_E	0.477
2dyj_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b	_4_b_3_F_0_-_5_F_4_i_0_-_1_h_0_-_9_E_0_b	0.385
7k1v_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_0_-_1_c_2_m_0_-_2_c_2_c_0_-_7_m_2_k_3_l_0_-_0_-_6_k_3_b_2_c_2_i	_3_k_0_-_3_k_18_B_10_c_5_b_0_-_2_b_7_l_6_d_7_B_0_f_7_e_8_C_5_i_2_l_6_i_13_c_1_f_4_h_3_n_8_h_28_n_17_A_6_A_16_n_0_-_2_d_12_i	0.466
1r7h_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_C_4_j_5_C_4_h_0_-_7_C_0_-_0_-_2_C_3_h	0.523
1yx0_A	_0_i_0_-_4_E_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_4_h_18_c_5_E_4_J_2_B_14_l_4_A_8_h_3_B_0_-_0_-_15_B	0.375
2bq0_B	_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b	_0_k_0_-_0_-_3_k_6_t_7_q_5_b_3_n_4_q_7_k_4_l_0_-_2_b	0.387
5tvg_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_0_-_2_c_0_-_0_-_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_5_g_4_C_2_k_3_C_0_-_3_C_2_F_6_i_4_i_3_E_4_b_1_k_1_b_3_E_8_o_7_C_5_i_2_C_8_h_0_-_7_D_0_-_3_c_5_B_4_k_2_m_2_j_0_-_2_d	0.438
1sq5_D	_4_E_0_-_5_k_0_-_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_0_-_0_-_2_c_2_c_0_-_7_m_2_k_3_l_6_k_3_b_2_c	_0_D_0_d_8_i_5_b_5_q_8_F_5_j_8_D_0_c_3_e_0_-_9_b_2_j_6_B_2_A_4_A_0_-_0_-_0_-_5_B_3_D_7_b_9_c_2_E_2_m_7_f_0_-_2_j_5_b_5_e	0.388
1s7g_A	_0_i_4_E_0_-_0_-_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c_0_-_2_m	_0_j_4_D_1_f_10_c_2_d_1_e_1_i_0_-_10_j_3_E_0_-_5_c_5_B_2_G_5_B_0_b_1_d_14_D_8_k_2_D_11_g_2_E_6_b_2_C_2_l	0.394
2hwv_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_0_B_0_-_2_B_0_-_0_-_5_C_0_-_0_-_2_C_2_j_7_c_6_b_3_l	0.376
6cty_A	_0_i_4_E_5_k_8_C_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k_3_b_2_c_2_i	_4_j_4_C_10_k_7_D_8_h_3_B_17_k_3_B_10_g_5_e_5_B_0_-_5_g_5_D_0_-_1_d_2_d_0_-_5_b_0_-_0_-_8_j_5_B_8_c_12_j_0_-_3_d_5_e	0.452
3dbh_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_0_-_0_-_2_c_0_-_0_-_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_0_-_0_-_0_-_6_k_0_-_0_-_3_b_2_c	_0_f_0_-_16_g_2_C_4_i_5_D_6_d_6_b_4_j_4_D_3_b_2_c_4_C_4_k_3_A_2_A_1_b_3_F_2_F_11_b_0_-_8_d_5_f_5_b_14_m_7_h_6_n_8_D_5_D_15_C_6_i_9_D_4_A_7_d_2_c	0.404
4dgs_A	_0_i_4_E_5_k_0_-_8_C_8_j_9_D_0_-_6_e_0_-_1_d_5_F_0_-_2_b_2_c_3_C_4_j	_8_e_3_B_6_i_7_h_14_C_3_j_4_C_10_A_3_e_3_C_3_e_5_C_8_C_0_-_11_c_3_A_14_j	0.501
5b6b_F	_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k	_0_e_6_d_7_o_33_l_17_o_3_d_3_m_4_k	0.592
4s1n_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_5_h_2_E_6_g_3_B_2_b_3_k_4_C_0_-_7_c_6_D_0_-_11_g_6_D	0.519
2j0v_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j	_5_i_14_E_0_-_4_F_11_b_4_F_3_e_5_f_5_E_1_c_2_d_7_j_3_C_8_k	0.638
4xpu_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_5_I_9_k_7_C_12_h_3_D_0_-_17_E_2_F_0_-_0_-_8_F_3_i_8_h	0.416
4l9m_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_0_i_0_-_12_j_0_-_3_m_0_-_3_m_2_d_0_-_1_m_3_d_0_-_3_g_19_m_3_h_7_p_5_m_3_j_2_c_2_e_2_k_6_g_9_k_11_n_8_i_6_j_18_n_7_A_0_h	0.359
6fea_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_0_-_3_l_0_-_6_k_3_b_2_c_2_i	_2_k_5_E_1_d_4_j_4_D_10_k_13_F_2_l_0_-_2_F_4_c_2_b_2_C_2_l_3_B_0_-_5_l_0_-_0_-_2_q_3_E_2_k_2_F_4_i_5_C_3_j_3_C_0_-_1_i	0.415
1q1f_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_0_j_0_-_0_-_2_l_1_e_10_c_3_n_8_k_5_n_2_o	0.599
2fun_B	_4_E_0_-_0_-_5_k_8_C_8_j_9_D_0_-_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_2_c_1_c_2_m	_0_E_4_d_2_c_7_k_3_A_7_k_8_E_2_A_2_A_9_g_5_b_4_E_0_-_0_-_25_D_9_A_3_A_0_k_0_-_0_-_6_k	0.377
1un8_A	_0_i_4_E_5_k_8_C_0_-_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_0_-_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k_0_-_3_b_2_c_2_i	_5_j_5_E_2_l_4_E_17_k_4_k_1_H_18_B_0_-_0_-_10_B_0_-_4_l_6_F_5_j_4_b_0_G_7_I_4_e_36_l_1_h_0_-_6_m_8_l_2_n_4_l_9_k_4_m_9_b_0_-_2_k	0.463
4er9_A	_7_m_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_0_m_0_-_3_m_0_-_5_b_7_q_3_g_2_i	0.512
3gzl_A	_3_l_0_-_6_k_3_b_2_c_2_i	_0_l_4_b_14_k_0_-_6_c_5_i	0.758
2bgw_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_7_f_3_D_0_-_6_C_0_-_2_F_0_i_1_j_2_F_5_b_3_k_3_D_0_-_0_-_0_-_0_-_0_-_0_-_2_l_17_j_0_-_6_j_2_c_4_e_5_j	0.362
5thm_A	_4_E_5_k_0_-_8_C_0_-_0_-_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_0_-_2_m_2_c_2_c_7_m_2_k_3_l_6_k_0_-_3_b_2_c_2_i	_4_F_6_b_13_A_26_C_7_F_9_b_3_e_2_D_4_d_11_h_5_c_1_J_1_i_4_b_3_C_12_j_16_e_32_c_8_E_4_f_6_l_8_d_0_-_0_-_15_g_0_-_6_i_5_F_5_e_14_c_11_n	0.401
4m3n_A	_0_i_0_-_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c	_3_j_1_F_5_E_0_-_2_E_4_k_5_I_9_H_3_d_11_j_4_G_0_-_12_d_4_A_2_j_2_J_8_h_2_f	0.428
1ynj_K	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d	_0_e_0_-_5_l_14_A_0_-_6_A_3_h_13_c	0.366
1nm8_A	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_0_-_0_-_2_k_3_l_6_k_3_b_2_c	_2_E_10_k_9_e_2_j_3_j_3_D_10_j_0_-_16_E_0_-_0_-_4_D_6_l_15_B_0_-_5_n_0_G_5_d_0_-_4_m_5_E_8_D_3_i_6_p_5_k_6_c_1_e	0.426
5grh_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_0_-_2_b_0_-_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_0_-_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_E_5_l_3_D_9_k_1_C_15_g_0_-_4_F_12_F_3_J_2_F_2_m_3_E_7_l_4_E_0_i_1_b_0_-_2_C_3_k_6_D_4_D_6_b_0_-_0_-_8_k_3_l_0_-_6_b_0_-_5_l	0.368
1fx4_A	_0_i_0_-_4_E_0_-_0_-_5_k_0_-_0_-_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_2_f_4_m_3_E_2_E_2_m_6_l_12_f_5_G_2_C_6_C_1_j_5_C_0_c_4_d_3_F_0_-_0_-_8_E	0.397
5opt_e	_5_k_8_C_8_j_0_-_9_D_0_-_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_k_4_C_4_j_3_F_6_E_6_B_5_A_4_f_0_-_8_D_0_-_0_-_4_B_0_f	0.484
3mfq_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_0_-_2_c_0_-_2_c_0_-_7_m_0_-_2_k_0_-_3_l	_0_C_2_j_4_C_14_h_2_C_9_f_0_-_1_A_6_b_0_-_2_A_6_A_0_-_0_-_3_b_1_l_4_s_4_b_1_B_6_e_3_B_12_k_3_B_7_j_6_B_21_m	0.448
2aj6_A	_8_j_9_D_6_e_1_d_0_-_0_-_5_F_2_b_2_c_3_C_4_j	_0_m_0_-_8_g_2_d_3_G_2_H_7_F_1_b_0_-_0_-_4_k	0.400
1iy9_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_0_-_2_c_0_-_1_c_2_m_2_c_2_c	_3_E_2_D_3_l_5_D_5_e_7_E_2_i_1_c_7_D_0_-_3_d_5_E_15_h_0_I_7_j_4_F_5_b_1_F_9_b_0_-_10_e_5_c	0.461
7swh_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_0_-_0_-_7_m_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_19_j_0_-_12_k_3_D_2_j_5_C_0_-_5_d_0_-_6_a_0_-_3_C_6_k_2_F_0_-_11_l_4_D_10_c_0_-_3_D_12_D_1_k_6_j_2_n_7_B_1_b_3_i_6_D_3_j	0.456
1g4i_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k_3_b_2_c	_0_j_5_c_0_-_18_m_1_d_4_b_0_-_4_C_2_C_5_m_0_-_5_b_4_c	0.502
2hjr_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_2_c_0_-_0_-_0_-_2_c_0_-_0_-_7_m_2_k_3_l_6_k_0_-_3_b	_0_D_3_j_4_D_5_l_5_C_0_-_2_c_4_C_0_-_12_o_4_C_4_j_3_b_0_-_0_B_2_l_3_b_0_A_2_B_6_A_1_b_1_A_2_A_0_e_5_j_1_h_6_l_4_I_1_b	0.399
1knv_A	_0_i_4_E_5_k_8_C_0_-_8_j_0_-_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_2_c_2_c_7_m_2_k	_0_b_3_C_0_-_6_C_1_g_9_n_6_r_4_D_0_-_8_c_2_l_14_D_1_b_2_c_0_-_7_g_1_d_5_b_0_G_4_q_7_E_5_e_5_b_13_C_3_j	0.372
1tff_A	_2_c_7_m_0_-_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_0_c_3_l_0_D_7_k_3_n_4_n_3_g_2_o_1_f_5_g	0.408
2reo_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k	_0_D_5_j_2_C_3_b_2_d_3_E_2_k_9_i_0_-_7_j_5_D_0_e_1_j_5_i_2_d_29_c_0_-_3_k	0.528
1o89_A	_0_i_0_-_4_E_0_-_0_-_0_-_5_k_0_-_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c	_2_g_15_H_9_D_14_C_1_b_1_A_6_p_4_b_1_C_5_j_4_D_2_i_1_E_0_b_11_E_3_h_1_H_13_e_2_C_7_k_2_c	0.361
3wkx_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_1_c_0_-_2_m_0_-_0_-_2_c_2_c_7_m_2_k_0_-_3_l_6_k_3_b_0_-_2_c_2_i	_0_C_2_h_0_-_5_g_23_h_0_-_13_m_3_m_9_c_0_-_0_-_2_d_6_c_1_n_2_m_16_j_2_k_6_g_21_b_7_m_2_m_12_b_16_m_3_h_6_b_14_A_1_d_20_h	0.410
3cnl_A	_0_i_4_E_0_-_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k	_0_f_4_F_17_F_1_b_2_k_4_B_6_g_6_E_5_h_0_-_8_B_0_-_0_-_5_B_3_A_7_h_5_b_0_-_3_l_5_j_5_b_0_-_3_k	0.418
5thk_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_D_4_j_4_E_2_l_3_E_5_l_0_-_2_E_9_b_2_g_0_-_5_j_0_I_2_c_0_-_6_p_2_F_8_b_0_-_0_-_2_h_0_-_0_-_4_b_0_-_7_j	0.353
1rf8_B	_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c	_0_h_7_b_0_-_13_b_0_-_0_-_8_j_6_e	0.401
4ys8_A	_0_i_4_E_0_-_0_-_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j	_0_i_4_F_9_c_5_B_6_l_6_C_9_j_5_F_4_B_9_B_0_-_5_I_0_k_7_f_5_C_2_b_5_i	0.394
1z2i_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_0_-_2_c_7_m_2_k_0_-_3_l	_1_k_9_C_4_D_5_n_1_H_6_h_3_E_0_-_0_-_20_D_0_-_0_-_7_D_7_h_8_A_14_A_0_-_4_l_11_b_14_G_1_b_3_m_13_j_2_B_1_k	0.378
4cr4_U	_4_E_5_k_8_C_0_-_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_C_1_k_9_F_4_H_2_B_7_B_1_k_4_F_8_g_0_-_8_D_0_-_0_-_10_D_18_j	0.446
1gec_E	_0_i_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_0_-_0_-_5_F_0_-_2_b_2_c_3_C	_7_f_0_-_11_j_18_c_8_C_5_g_4_D_0_-_4_c_5_A_9_J_2_F_11_D_8_b_0_-_5_C	0.463
1ra0_A	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_2_E_18_j_4_m_2_H_6_k_4_F_10_i_0_-_4_A_3_b_3_m_2_E_9_j_2_b_0_D_1_d_2_k_2_C_1_f_15_e_4_B_16_j_0_-_5_j_0_-_1_e_15_C_4_f	0.430
1tah_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_0_-_3_C_0_-_4_j_0_-_2_c_1_c_2_m_2_c_0_-_2_c_7_m	_0_C_18_f_4_C_13_l_4_E_1_j_1_b_0_F_7_j_7_k_7_h_3_i_17_C_2_G_4_F_2_E_0_-_8_c_2_k_12_c_3_A_10_b_13_l	0.394
1x2i_A	_2_k_3_l_6_k_3_b_2_c_2_i	_0_h_0_-_7_j_2_e_2_c_7_j	0.542
5e58_D	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_0_-_6_k_3_b_2_c_2_i	_5_j_2_E_0_-_0_-_0_-_2_E_2_g_0_-_0_-_5_b_0_-_0_A_0_-_6_c_0_-_9_m_6_m_9_l_9_m_2_k_5_q_9_j_10_j_6_k_1_k_8_e_1_k	0.389
4esa_D	_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_0_j_3_l_1_e_9_e_1_m_5_c_1_d_10_o_0_-_2_n	0.679
4xgi_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_0_-_2_m	_3_j_3_F_0_-_2_C_6_j_9_B_1_e_0_-_4_C_11_b_0_-_4_B_8_h_3_B_1_c_2_j_3_q_3_n	0.487
2dm9_A	_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_0_-_4_j	_0_l_0_-_2_n_3_D_2_h_1_f_4_C_8_E_0_-_0_-_5_D_0_f_1_k	0.428
6dub_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_0_-_0_-_3_C_0_-_4_j	_0_k_6_c_4_l_13_D_5_a_10_E_2_i_1_e_0_E_2_b_7_F_2_b_2_k_1_K_3_C_4_D_0_i	0.385
5iko_A	_0_i_0_-_4_E_0_-_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_2_j_2_q_8_E_4_b_1_m_8_E_7_m_5_b_0_E_4_f_0_-_5_C_0_-_11_f_3_C_4_h_1_b_0_-_1_A_0_-_4_i_4_d_2_j_11_h_5_n_2_k_2_b_0_-_1_g	0.485
3utk_A	_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_o_8_k_11_k_4_j_0_-_0_-_1_i	0.566
1pv8_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c	_5_j_4_E_4_n_3_C_4_j_7_B_3_A_3_g_7_k_4_D_0_-_2_k_5_D_1_j_0_-_0_-_5_l_3_C_2_f	0.435
1hkq_A	_0_i_0_-_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_3_j_9_b_0_D_0_f_4_l_3_D_0_-_2_E_0_-_0_-_2_F_0_-_0_-_4_E_7_i	0.409
1yk5_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_C_0_-_5_B_0_-_5_b_0_-_7_b_13_b_0_B	0.406
2msk_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_0_C_4_k_2_C_3_g_0_-_7_C_0_-_8_h_6_C_0_-_7_g_0_-_11_l	0.445
1ppr_M	_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_5_c_0_-_7_m_2_l_10_l_0_-_3_k_4_f_3_o_15_n_6_b_0_-_7_m_2_l_9_l_4_k_0_-_0_-_3_g	0.378
1u0s_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_G_7_k_0_-_0_-_3_E_0_-_2_d_6_G_0_-_3_h_6_F	0.399
1iuz_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_0_-_0_-_5_F_2_b_2_c_3_C	_0_D_8_A_2_C_0_-_4_E_5_D_0_-_10_c_1_D_5_D_4_E_4_b_0_-_2_F	0.393
2fz5_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_D_5_l_4_D_5_d_3_D_10_k_0_-_4_G_5_j_0_-_3_H_7_i	0.426
3shw_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_0_-_6_k	_5_i_5_G_1_i_5_D_0_-_18_E_0_-_2_b_3_F_5_G_1_j_7_F_7_C_3_j_4_B_9_g_0_-_4_C_0_-_3_h_5_E_3_j_7_m_2_C_6_k	0.356
1jt6_B	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_0_-_3_l_6_k	_0_j_7_g_5_b_5_o_2_b_0_-_3_j_6_j_6_q_8_m_5_n	0.488
5fbm_A	_0_i_4_E_5_k_8_C_8_j_9_D_0_-_6_e	_0_j_0_-_3_n_4_B_0_-_3_G_10_G_1_h	0.358
4x2r_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_0_-_2_c_3_C_4_j_2_c_0_-_1_c_2_m_2_c_2_c	_3_i_4_E_0_c_6_i_3_D_5_h_4_C_1_d_1_k_0_G_2_A_6_i_5_D_11_h_5_C_5_g_2_b_1_E_1_c_0_-_5_g_4_c	0.440
1din_A	_4_E_5_k_8_C_0_-_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m	_6_F_7_j_3_D_1_c_11_j_3_l_4_I_1_j_0_-_4_D_0_-_4_i_4_E_7_j_5_E_0_-_0_-_16_m	0.391
1kao_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m	_6_i_12_H_0_-_2_H_7_i_2_F_3_m_0_-_7_E_0_-_1_e_0_-_4_j_3_C_0_-_0_-_4_m	0.366
2a7r_D	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_0_-_2_c_1_c_0_-_0_-_2_m_2_c	_5_i_2_b_2_D_3_k_5_D_6_k_4_F_2_i_0_-_3_C_0_-_9_d_5_k_3_D_5_h_4_C_1_b_0_-_17_C_4_C_4_n_4_e	0.416
3ue9_A	_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_0_-_3_b_2_c_2_i	_0_D_7_h_4_C_0_-_18_c_4_C_3_B_1_k_5_b_0_C_3_A_2_j_3_h_6_d_1_m_12_h_2_f_0_A_0_-_0_-_1_i_4_C_4_b_18_e_3_b	0.438
1s4m_A	_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_2_c	_0_D_6_m_3_E_3_c_10_g_5_C_1_c_4_g_5_D_6_b_3_e_3_D_3_A_2_A_2_h_7_c	0.475
